,msd_mean,msd_std,disr_score,cluster
202,3.3944175,0.79187727,-0.22717404,0
203,1.8565408,1.1396463,2.721229,1
204,2.2128837,0.4026892,-0.14434862,0
205,3.3914578,0.9662887,2.577807,1
206,2.470709,0.7348812,-1.8500046,0
207,1.9329749,0.9272268,2.5698943,1
208,3.0643227,0.77641773,1.8528874,1
209,4.9349704,2.0834773,1.4663012,1
210,2.3353443,0.5870827,-0.82504356,0
211,1.6733546,0.3389444,-0.53059447,0
212,2.1806731,0.5716829,-1.4602909,0
213,6.425573,3.6771097,9.144222,1
214,1.6258684,0.34890652,-0.168818,0
215,2.555887,0.6102463,-1.1016803,0
216,2.2938392,0.754296,-2.243962,0
217,2.1711085,0.4781013,0.1926502,1
218,2.6793075,0.6797956,-2.1757064,0
219,3.5349042,2.3844352,3.8161662,1
220,10.21105,4.9779634,15.0214405,1
221,3.5858955,1.192526,2.0653806,1
222,9.892289,4.0748224,4.6002283,1
223,2.964971,0.6249439,0.738884,1
224,2.8798015,0.77047765,0.6811738,1
225,2.6729522,0.42441988,-0.15073776,0
226,3.2057376,1.1479161,0.17291546,1
227,2.2628572,0.5051807,-0.7319089,0
228,5.0703506,1.5193443,0.1036787,1
229,3.1045632,0.672468,1.8650396,1
230,2.3235238,0.682264,-1.4196156,0
231,3.3241904,0.80530334,0.11676216,0
232,3.645613,1.4765167,3.5579295,1
233,7.6259527,2.239594,-3.7856271,1
234,1.7937145,0.3930209,-0.15416598,0
235,1.8492537,0.29511437,-0.3696388,0
236,3.4878552,1.2711955,1.8986204,1
237,4.6483564,1.1463091,-1.3508992,0
238,2.257417,0.85303897,1.7083951,1
239,2.4264054,0.40957254,0.3492136,0
240,2.550181,0.9843189,1.4837463,1
241,3.4773993,1.8330389,5.225145,1
242,5.9006815,1.7738621,2.686664,1
243,3.4741235,1.2075703,1.7027445,1
244,6.1270804,2.5329354,1.7731519,1
245,1.2349819,0.26265183,-0.49397123,0
246,5.873841,3.2286155,10.27655,1
247,4.681899,1.0090084,-0.40620422,0
248,1.4239304,0.28999504,0.26071215,1
249,3.2847514,0.9391877,-0.15481377,0
250,3.7443254,1.2234342,-0.25991058,1
251,1.5520669,0.35186192,0.13563299,1
252,4.21605,1.4774314,3.8828506,1
253,2.1126213,0.6167719,0.60981953,1
254,3.2736168,0.6494983,0.9102268,1
255,5.475059,2.5320716,6.1773334,1
256,3.6188269,0.99889404,0.95212173,1
257,2.6654954,0.7056566,0.6636689,1
258,4.644478,1.6888314,5.880831,1
259,3.1085718,1.1798861,2.2668662,1
260,1.900648,0.632559,1.5320096,1
261,4.5606284,2.3995645,5.284547,1
262,5.684052,2.9194317,8.813528,1
263,3.5607352,0.93393624,-2.6233587,0
264,8.912618,2.3190098,1.1403394,1
265,1.8882376,0.54136586,1.3116162,1
266,3.4178321,1.2635697,2.118005,1
267,2.7166176,1.1532716,-2.7563908,0
268,2.4741402,0.62303686,-1.5013485,0
269,2.0917335,0.57197696,1.2512499,1
270,3.6730347,1.7914457,5.7609277,1
271,2.4736745,0.77597773,-1.4664353,0
272,2.3855379,0.58157796,0.39905357,1
273,2.012185,0.48022804,-0.01792574,1
274,2.5149012,0.54691917,0.3859322,0
275,3.4950907,0.92400974,-2.289132,0
276,6.377939,3.3330739,11.05164,1
277,2.449895,0.47626466,-0.08704877,0
278,2.9889092,0.7442455,2.2615952,1
279,2.789584,0.7882178,2.699574,1
280,4.455376,1.9869697,0.87778187,1
