lgn_mean,lgn_std,disr_score
1.6040487,0.90258276,-0.5045326
0.4233023,0.21670732,0.13196352
0.4768217,0.2620219,0.12541258
0.5046847,0.21036625,0.06792566
1.3336151,0.5868906,-0.244308
0.3885105,0.1322343,0.17337319
0.6169563,0.35081613,-0.3575384
0.6324253,0.31295657,-0.5648654
1.0798916,0.58161247,-1.3469461
0.5187373,0.16587785,-0.0934864
0.5801834,0.24660994,-0.14232314
0.55011743,0.31738216,0.07287359
1.3504108,0.5930678,-0.33015585
0.89957976,0.4234923,0.26273042
1.0026217,0.44937372,-0.16332251
2.5458386,1.5029941,-0.37624574
0.66079724,0.32098517,-0.65283066
0.56151754,0.38027254,-0.5543397
0.545942,0.2166546,-0.056551397
0.7182316,0.4114813,0.03279656
0.34046015,0.13412769,-0.09478146
0.69228673,0.3592134,-0.21318704
0.42882782,0.20987678,-0.20556056
1.738935,1.0101051,-0.8810203
0.30981037,0.12297714,-0.077863246
0.5089917,0.38003203,-0.35876134
0.53986144,0.3125557,-0.008546442
0.8328892,0.39018163,-0.044522285
0.8946683,0.41404292,-0.19680798
0.3168984,0.20950983,0.28118756
0.4741221,0.2576051,-0.36795524
0.9100116,0.5411395,-0.08101559
1.1304653,0.5711728,0.095348716
1.5141814,0.7635042,-0.19824278
0.8515536,0.65816414,-1.3390915
0.47649792,0.20033719,-0.05873978
0.3413952,0.1415,0.08173481
0.443638,0.18286894,0.07668176
0.44332713,0.21455355,0.18601859
1.8124986,1.2007799,-0.4535036
0.43354666,0.36966762,-0.25273174
0.80271965,0.3580821,0.18956757
0.74034965,0.42782056,-0.45921814
0.5351187,0.25684533,-0.10704863
0.6826652,0.32330117,-0.0031829476
0.88187844,0.41014373,-0.24006921
0.89484996,0.57715404,-0.21649021
0.5388591,0.23847938,-0.041473925
0.4941954,0.20208251,-0.12361351
0.75023,0.40332547,-0.20708972
0.5563956,0.2548839,-0.19022611
0.5718132,0.27478737,-0.34771037
1.3543434,1.0277134,-0.5516077
0.34181067,0.16455457,-0.07537776
2.349152,1.8936287,-1.1991107
0.49374938,0.21582559,0.07145965
1.067205,0.677996,-0.16923553
0.7415474,0.36504215,0.023541331
0.6116756,0.3229481,-0.27068937
0.43696558,0.18521929,-0.16595387
0.53346026,0.27854788,-0.0011384487
1.3027978,1.0183704,-0.27536422
0.4033446,0.2266956,0.06392616
1.0213245,0.458523,0.010955095
0.7755039,0.3739671,-0.17576331
2.1995547,3.804856,-0.15170693
1.2753704,0.6528352,-0.19382954
1.6987741,1.1137161,-0.8332225
0.68142533,0.4178541,-0.24879646
0.56513083,0.263313,0.0040424764
1.0102938,0.39092612,-0.466132
1.0400832,0.4959865,-0.5512178
0.70474917,0.3314207,-0.08204621
